
Fecha Local,Fecha UTC,Dirección del Viento (grados),Dirección de ráfaga (grados),Rapidez de viento (km/h),Rapidez de ráfaga (km/h),Temperatura del Aire (°C),Humedad relativa (%),Presión Atmosférica (hpa),Precipitación (mm),Radiación Solar (W/m²),
2021-05-25 16:50:00,2021-05-25 21:50:00,121.0,115.0,17.7,28.7,30.5,70,1016.2,0,378,
2021-05-25 16:40:00,2021-05-25 21:40:00,120.0,107.0,16.2,26.4,30.8,68,1016.3,0,444,
2021-05-25 16:30:00,2021-05-25 21:30:00,119.0,110.0,17,26.4,31.1,67,1016.4,0,501,
2021-05-25 16:20:00,2021-05-25 21:20:00,122.0,124.0,17.2,28.7,30.6,70,1016.4,0,602,
2021-05-25 16:10:00,2021-05-25 21:10:00,122.0,105.0,17.5,29.2,31,67,1016.5,0,422,
2021-05-25 16:00:00,2021-05-25 21:00:00,121.0,126.0,18,26.4,31.2,67,1016.5,0,672,
2021-05-25 15:50:00,2021-05-25 20:50:00,125.0,139.0,15.5,25.2,31.4,66,1016.5,0,535,
2021-05-25 15:40:00,2021-05-25 20:40:00,127.0,122.0,18.3,29.8,30.9,69,1016.6,0,643,
2021-05-25 15:30:00,2021-05-25 20:30:00,120.0,122.0,19.6,29.2,31.2,67,1016.7,0,561,
2021-05-25 15:20:00,2021-05-25 20:20:00,122.0,117.0,17,28.7,31.7,66,1016.7,0,400,
2021-05-25 15:10:00,2021-05-25 20:10:00,131.0,124.0,16.6,28.7,31.8,66,1016.8,0,275,
2021-05-25 15:00:00,2021-05-25 20:00:00,123.0,115.0,18.6,28.1,31.7,66,1016.9,0,261,
2021-05-25 14:50:00,2021-05-25 19:50:00,117.0,100.0,19.1,28.1,31.6,66,1016.9,0,536,
2021-05-25 14:40:00,2021-05-25 19:40:00,122.0,111.0,18.3,31,31.5,67,1016.9,0,749,
2021-05-25 14:30:00,2021-05-25 19:30:00,121.0,100.0,16.6,25.8,31.8,65,1017,0,472,
2021-05-25 14:20:00,2021-05-25 19:20:00,122.0,107.0,16.8,31.6,32,65,1017.1,0,663,
2021-05-25 14:10:00,2021-05-25 19:10:00,120.0,109.0,18.9,33.3,31.9,65,1017.2,0,776,
2021-05-25 14:00:00,2021-05-25 19:00:00,125.0,108.0,17.5,29.2,32.1,65,1017.2,0,778,
2021-05-25 13:50:00,2021-05-25 18:50:00,131.0,121.0,16.1,28.1,32,66,1017.3,0,634,
2021-05-25 13:40:00,2021-05-25 18:40:00,121.0,115.0,17.4,30.4,32,65,1017.4,0,728,
2021-05-25 13:30:00,2021-05-25 18:30:00,124.0,101.0,18.4,29.2,31.9,64,1017.5,0,964,
2021-05-25 13:20:00,2021-05-25 18:20:00,122.0,111.0,17.4,26.9,31.9,65,1017.5,0,966,
2021-05-25 13:10:00,2021-05-25 18:10:00,130.0,113.0,14.6,22.9,31.9,64,1017.6,0,1026,
2021-05-25 13:00:00,2021-05-25 18:00:00,122.0,118.0,16.1,28.1,31.9,65,1017.6,0,989,
2021-05-25 12:50:00,2021-05-25 17:50:00,123.0,103.0,14.8,26.4,32,64,1017.7,0,947,
2021-05-25 12:40:00,2021-05-25 17:40:00,128.0,132.0,16,25.2,32,64,1017.8,0,1008,
2021-05-25 12:30:00,2021-05-25 17:30:00,129.0,113.0,15.4,24.1,31.8,65,1017.9,0,962,
2021-05-25 12:20:00,2021-05-25 17:20:00,128.0,120.0,17.1,26.4,31.8,64,1018,0,1043,
2021-05-25 12:10:00,2021-05-25 17:10:00,128.0,116.0,16.3,25.8,31.8,64,1018.1,0,1004,
2021-05-25 12:00:00,2021-05-25 17:00:00,126.0,110.0,16.4,25.8,31.9,64,1018.2,0,1036,
2021-05-25 11:50:00,2021-05-25 16:50:00,122.0,117.0,17.8,26.9,31.8,64,1018.2,0,1020,
2021-05-25 11:40:00,2021-05-25 16:40:00,128.0,114.0,15.1,29.2,31.9,63,1018.2,0,997,
2021-05-25 11:30:00,2021-05-25 16:30:00,123.0,98.0,16.6,25.2,31.8,63,1018.2,0,976,
2021-05-25 11:20:00,2021-05-25 16:20:00,129.0,121.0,15.1,25.2,31.6,63,1018.3,0,977,
2021-05-25 11:10:00,2021-05-25 16:10:00,133.0,111.0,15.8,25.2,31.4,64,1018.2,0,905,
2021-05-25 11:00:00,2021-05-25 16:00:00,121.0,124.0,18,28.1,31.4,63,1018.2,0,891,
2021-05-25 10:50:00,2021-05-25 15:50:00,129.0,113.0,14.9,23.5,31.5,63,1018.3,0,816,
2021-05-25 10:40:00,2021-05-25 15:40:00,126.0,114.0,17.6,29.8,31.3,63,1018.3,0,850,
2021-05-25 10:30:00,2021-05-25 15:30:00,121.0,108.0,16.4,27.5,31.3,63,1018.2,0,887,
2021-05-25 10:20:00,2021-05-25 15:20:00,121.0,110.0,16.6,25.2,31.3,62,1018.2,0,714,
2021-05-25 10:10:00,2021-05-25 15:10:00,124.0,105.0,16.8,26.4,31,61,1018.1,0,785,
2021-05-25 10:00:00,2021-05-25 15:00:00,125.0,116.0,16.5,26.4,30.9,61,1018.1,0,757,
2021-05-25 09:50:00,2021-05-25 14:50:00,117.0,108.0,16.7,29.8,30.7,62,1017.9,0,710,
2021-05-25 09:40:00,2021-05-25 14:40:00,122.0,116.0,18.2,32.1,30.7,63,1017.8,0,688,
2021-05-25 09:30:00,2021-05-25 14:30:00,121.0,109.0,17.4,26.4,30.6,63,1017.7,0,557,
2021-05-25 09:20:00,2021-05-25 14:20:00,125.0,125.0,14.9,25.8,30.7,64,1017.6,0,621,
